Employee_ID,Experience_Years,Age,Department,Salary,Employees
19,2.5,30.0,HR,22200.0,22.0
39,4.3,32.0,IT,83100.0,50.0
73,6.0,29.0,IT,80100.0,51.0
155,12.3,47.0,Management,158400.0,15.0
27,2.3,26.0,HR,49100.0,20.0
136,5.3,24.0,Sales,74300.0,82.0
11,3.4,26.0,HR,38400.0,19.0
26,0.8,24.0,HR,33900.0,17.0
153,7.6,50.0,Management,155800.0,14.0
14,1.7,27.0,HR,43200.0,22.0
160,14.1,43.0,Management,128700.0,11.0
83,9.2,39.0,Finance,106000.0,31.0
59,5.6,28.0,IT,103100.0,59.0
86,6.4,37.0,Finance,105600.0,32.0
65,7.8,28.0,IT,88800.0,60.0
106,12.1,45.0,Finance,106600.0,39.0
98,9.9,33.0,Finance,96100.0,37.0
53,6.4,46.0,IT,88400.0,62.0
35,1.6,24.0,HR,41800.0,16.0
79,7.0,34.0,IT,96400.0,
49,5.9,26.0,IT,83800.0,57.0
57,4.7,35.0,IT,81200.0,47.0
112,5.4,39.0,Finance,105900.0,31.0
166,10.6,40.0,Management,147100.0,13.0
118,3.2,27.0,Sales,59700.0,50.0
70,5.9,29.0,IT,82700.0,52.0
170,9.2,52.0,Management,162900.0,18.0
119,1.7,34.0,Sales,86700.0,67.0
29,2.6,32.0,HR,36900.0,20.0
8,1.8,24.0,HR,33500.0,25.0
4,2.8,20.0,HR,28000.0,18.0
33,2.6,23.0,HR,28800.0,20.0
38,6.4,32.0,,85200.0,57.0
104,4.9,42.0,Finance,104900.0,31.0
43,5.1,28.0,IT,72200.0,49.0
24,1.7,24.0,HR,34600.0,15.0
102,7.1,39.0,Finance,90700.0,34.0
92,9.4,34.0,Finance,108900.0,35.0
134,3.9,24.0,Sales,54900.0,
113,3.2,25.0,Sales,62900.0,78.0
55,4.1,30.0,IT,75100.0,55.0
88,6.6,35.0,Finance,106600.0,41.0
145,4.4,32.0,Sales,43000.0,79.0
121,,25.0,Sales,40500.0,71.0
122,2.9,23.0,Sales,53700.0,60.0
137,0.3,26.0,Sales,69000.0,68.0
95,9.7,37.0,Finance,133000.0,31.0
150,11.3,38.0,Management,140600.0,16.0
32,3.2,32.0,HR,32900.0,18.0
161,11.2,51.0,Management,143700.0,10.0
64,9.3,35.0,IT,71000.0,51.0
94,10.9,41.0,Finance,133900.0,31.0
46,6.6,28.0,IT,72200.0,58.0
34,1.2,26.0,HR,31000.0,24.0
101,4.8,33.0,Finance,100800.0,35.0
109,7.5,40.0,Finance,122000.0,35.0
106,12.1,45.0,Finance,106600.0,39.0
158,12.1,48.0,Management,119100.0,19.0
30,2.5,21.0,HR,44800.0,22.0
54,7.2,34.0,IT,80500.0,60.0
110,11.3,29.0,Finance,88100.0,34.0
20,2.6,24.0,HR,38700.0,14.0
123,6.5,33.0,Sales,67700.0,82.0
163,,46.0,Management,182000.0,18.0
105,,37.0,Finance,122500.0,35.0
61,4.1,31.0,IT,84900.0,60.0
84,8.2,33.0,Finance,116500.0,34.0
167,10.2,44.0,Management,142700.0,
126,5.4,37.0,Sales,45500.0,74.0
140,3.3,27.0,Sales,69800.0,66.0
139,5.8,30.0,Sales,72000.0,66.0
1,3.1,25.0,HR,42600.0,24.0
148,5.2,26.0,Sales,67400.0,65.0
149,13.2,45.0,Management,,13.0
89,9.7,35.0,Finance,106400.0,30.0
78,6.5,30.0,IT,80600.0,62.0
13,2.9,20.0,HR,40400.0,18.0
124,4.1,26.0,Sales,87800.0,74.0
42,7.2,33.0,IT,91900.0,67.0
114,2.5,31.0,Sales,55100.0,63.0
96,6.3,33.0,Finance,77100.0,32.0
12,0.7,23.0,HR,33100.0,23.0
115,3.8,25.0,Sales,56300.0,59.0
76,4.0,29.0,IT,87300.0,59.0
2,2.2,24.0,HR,47100.0,22.0
97,6.5,37.0,Finance,106900.0,42.0
68,4.7,32.0,IT,95100.0,45.0
6,4.3,24.0,HR,40500.0,15.0
23,1.9,27.0,HR,37800.0,22.0
20,2.6,24.0,HR,38700.0,14.0
100,4.6,43.0,Finance,99100.0,40.0
22,1.5,23.0,HR,42300.0,20.0
74,4.4,34.0,IT,83900.0,50.0
18,2.9,23.0,HR,40700.0,24.0
162,11.4,42.0,Management,100100.0,14.0
63,8.7,33.0,IT,72800.0,61.0
28,2.8,25.0,HR,26900.0,19.0
48,4.0,25.0,IT,,60.0
80,6.7,,IT,86300.0,54.0
40,,33.0,IT,73700.0,59.0
172,8.9,47.0,Management,141400.0,13.0
21,2.2,26.0,HR,46600.0,18.0
141,4.4,37.0,Sales,78400.0,67.0
131,1.5,31.0,Sales,51900.0,74.0
108,10.1,27.0,Finance,92900.0,26.0
60,1.9,32.0,IT,70600.0,60.0
56,9.7,24.0,IT,93500.0,44.0
91,9.0,44.0,Finance,,36.0
152,13.0,52.0,Management,136700.0,11.0
48,4.0,25.0,IT,75300.0,60.0
69,7.6,31.0,IT,74300.0,58.0
169,11.1,41.0,Management,123000.0,12.0
36,5.9,36.0,IT,66000.0,56.0
130,4.8,25.0,Sales,67200.0,76.0
